"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"13997","GO:0060205",0.00022693334533683,0.999866133002463,89,245,"cytoplasmic vesicle lumen","CC"
"13245","GO:0051249",0.000228624066018529,0.999859477731124,102,297,"regulation of lymphocyte activation","BP"
"765","GO:0002026",0.000229228053663372,0.999960425242552,13,21,"regulation of the force of heart contraction","BP"
"2603","GO:0005775",0.000230803117787727,0.99988467085394,54,138,"vacuolar lumen","CC"
"10150","GO:0040012",0.000235363488899745,0.99982769151912,233,789,"regulation of locomotion","BP"
"7846","GO:0031960",0.000235842333729519,0.999887796429882,48,119,"response to corticosteroid","BP"
"14227","GO:0060537",0.000238951273143868,0.999852023857857,102,312,"muscle tissue development","BP"
"2572","GO:0005739",0.000241271715258454,0.999808717587116,440,1461,"mitochondrion","CC"
"17637","GO:0099512",0.000248866826263504,0.999819717313799,217,728,"supramolecular fiber","CC"
"4606","GO:0010544",0.000251309493421666,0.999967039848756,11,16,"negative regulation of platelet activation","BP"
"2795","GO:0006090",0.000255489544297375,0.999873117359185,52,135,"pyruvate metabolic process","BP"
"17566","GO:0099081",0.000258970158693887,0.999812081550957,218,733,"supramolecular polymer","CC"
"4364","GO:0009612",0.000259465368991699,0.999861072970741,63,172,"response to mechanical stimulus","BP"
"7102","GO:0030335",0.000260471966306132,0.999827893343615,133,419,"positive regulation of cell migration","BP"
"11156","GO:0044272",0.000263009655671259,0.999859586920026,63,168,"sulfur compound biosynthetic process","BP"
"10155","GO:0040017",0.000266988218498434,0.999821411215291,140,444,"positive regulation of locomotion","BP"
"4360","GO:0009607",0.000271317955914544,0.999795798159471,279,924,"response to biotic stimulus","BP"
"10222","GO:0042129",0.000271508602541956,0.99988037008609,40,95,"regulation of T cell proliferation","BP"
"12598","GO:0048545",0.000275944312492439,0.9998329849497,93,271,"response to steroid hormone","BP"
"8713","GO:0033572",0.000276297773721503,0.999931152423203,18,32,"transferrin transport","BP"
"4657","GO:0010634",0.000277816241708846,0.99986434489638,49,128,"positive regulation of epithelial cell migration","BP"
"9221","GO:0034774",0.000278353441019935,0.999835031354972,88,243,"secretory granule lumen","CC"
"5381","GO:0015844",0.000279464896056202,0.999895103707843,30,65,"monoamine transport","BP"
"10663","GO:0043065",0.000279645336778974,0.99980530637222,172,544,"positive regulation of apoptotic process","BP"
"3513","GO:0007215",0.000281351527556113,0.999878457356995,37,93,"glutamate receptor signaling pathway","BP"
"13007","GO:0050863",0.000282815646283659,0.999838801959671,76,211,"regulation of T cell activation","BP"
"3788","GO:0008202",0.000283573662604169,0.999835553644354,81,226,"steroid metabolic process","BP"
"13026","GO:0050886",0.00028425389157152,0.999902009594049,26,55,"endocrine process","BP"
"15607","GO:0071277",0.000285032804355238,0.999886787738163,32,75,"cellular response to calcium ion","BP"
"1148","GO:0002696",0.000285897037040799,0.999835536093828,78,219,"positive regulation of leukocyte activation","BP"
"8184","GO:0032496",0.000287755668423529,0.999837180586965,74,205,"response to lipopolysaccharide","BP"
"16763","GO:0090383",0.000287949351919913,0.999946701654122,14,22,"phagosome acidification","BP"
"10881","GO:0043434",0.000288112698926114,0.999815052739486,116,357,"response to peptide hormone","BP"
"12987","GO:0050832",0.000288692389550838,0.999978923479223,9,11,"defense response to fungus","BP"
"15942","GO:0071855",0.000288915984769873,0.999959220875947,12,17,"neuropeptide receptor binding","MF"
"6903","GO:0030036",0.000291081298924099,0.99979454740569,181,603,"actin cytoskeleton organization","BP"
"12896","GO:0050671",0.000291274229222777,0.999881752779978,34,77,"positive regulation of lymphocyte proliferation","BP"
"7857","GO:0031983",0.000294589126624768,0.999824430015782,89,247,"vesicle lumen","CC"
"11393","GO:0045087",0.000299958745186402,0.999791412382275,170,531,"innate immune response","BP"
"1455","GO:0003300",0.000300850251525071,0.999888313871753,28,65,"cardiac muscle hypertrophy","BP"
"6806","GO:0022407",0.000301440482575892,0.999814174814512,98,292,"regulation of cell-cell adhesion","BP"
"3377","GO:0006979",0.000302107122849539,0.999802286430372,127,380,"response to oxidative stress","BP"
"12952","GO:0050777",0.000303828056755094,0.999862363405468,42,100,"negative regulation of immune response","BP"
"4632","GO:0010595",0.000304688795580053,0.999867268805588,38,92,"positive regulation of endothelial cell migration","BP"
"10188","GO:0042053",0.000307009324448051,0.999952941550838,12,18,"regulation of dopamine metabolic process","BP"
"10195","GO:0042069",0.000307009324448051,0.999952941550838,12,18,"regulation of catecholamine metabolic process","BP"
"2173","GO:0004867",0.000310968679641012,0.999908289239491,21,41,"serine-type endopeptidase inhibitor activity","MF"
"13340","GO:0051412",0.000313347490195528,0.999964006985264,10,14,"response to corticosterone","BP"
"10423","GO:0042562",0.000313671508017384,0.999888153592332,27,58,"hormone binding","MF"
"10995","GO:0043627",0.000323540052033361,0.999882145563991,28,60,"response to estrogen","BP"
"14769","GO:0061684",0.00033351820191586,0.999954563337586,11,16,"chaperone-mediated autophagy","BP"
"3202","GO:0006690",0.000333901424455589,0.999866622697159,33,72,"icosanoid metabolic process","BP"
"14047","GO:0060291",0.000341521516797253,0.999857697567567,34,82,"long-term synaptic potentiation","BP"
"3158","GO:0006637",0.000344341148858393,0.999852102297121,37,86,"acyl-CoA metabolic process","BP"
"9412","GO:0035383",0.000344341148858393,0.999852102297121,37,86,"thioester metabolic process","BP"
"1054","GO:0002521",0.00034454116172534,0.99977544987522,121,371,"leukocyte differentiation","BP"
"16087","GO:0072109",0.00034593306495394,0.999967463588239,9,12,"glomerular mesangium development","BP"
"3474","GO:0007167",0.000348181448476814,0.999739900365929,251,862,"enzyme linked receptor protein signaling pathway","BP"
"19306","GO:1903409",0.000352564238616638,0.999847111951444,37,89,"reactive oxygen species biosynthetic process","BP"
"11399","GO:0045103",0.000352968731347452,0.999904235940569,18,36,"intermediate filament-based process","BP"
"4170","GO:0009125",0.000353772923969685,1,6,6,"nucleoside monophosphate catabolic process","BP"
"3835","GO:0008284",0.000354692025859829,0.9997427586502,209,684,"positive regulation of cell population proliferation","BP"
"10436","GO:0042581",0.000355347144714375,0.999831158671441,45,113,"specific granule","CC"
"3318","GO:0006885",0.000358509448699065,0.999847387021898,36,84,"regulation of pH","BP"
"14236","GO:0060548",0.000359591853230696,0.999734243343221,236,774,"negative regulation of cell death","BP"
"1155","GO:0002703",0.000362110907633698,0.999817534951519,52,133,"regulation of leukocyte mediated immunity","BP"
"438","GO:0001508",0.000362423219296471,0.999827571581517,44,116,"action potential","BP"
"18000","GO:0120254",0.000364522619944651,0.999847458301194,35,80,"olefinic compound metabolic process","BP"
"3921","GO:0008430",0.000366266050028517,1,6,6,"selenium binding","MF"
"1563","GO:0003824",0.000366646986886398,0.999684239181732,1263,4692,"catalytic activity","MF"
"4605","GO:0010543",0.000367647280838824,0.999912867963213,16,29,"regulation of platelet activation","BP"
"4291","GO:0009268",0.000369295177622957,0.999903662584089,18,33,"response to pH","BP"
"12568","GO:0048488",0.000371031670577949,0.999863932079652,27,61,"synaptic vesicle endocytosis","BP"
"18064","GO:0140238",0.000371031670577949,0.999863932079652,27,61,"presynaptic endocytosis","BP"
"10608","GO:0042982",0.000374321181127077,0.999860774143914,28,62,"amyloid precursor protein metabolic process","BP"
"11527","GO:0045429",0.000379017520092119,0.999909889013371,16,29,"positive regulation of nitric oxide biosynthetic process","BP"
"3168","GO:0006650",0.00038523973984844,0.999759377500555,100,298,"glycerophospholipid metabolic process","BP"
"7690","GO:0031594",0.000386195693440686,0.999850976333495,29,68,"neuromuscular junction","CC"
"8465","GO:0032943",0.000391255065706386,0.999787237073574,63,169,"mononuclear cell proliferation","BP"
"1016","GO:0002448",0.000391342232986417,0.999882257094367,21,41,"mast cell mediated immunity","BP"
"6265","GO:0019229",0.000393496643493112,0.999875581771852,22,45,"regulation of vasoconstriction","BP"
"2165","GO:0004857",0.000395016969328953,0.999761192021892,89,253,"enzyme inhibitor activity","MF"
"11532","GO:0045453",0.000396791974265508,0.999862695533636,25,53,"bone resorption","BP"
"5074","GO:0014897",0.000397465550223223,0.999848868104098,28,66,"striated muscle hypertrophy","BP"
"11249","GO:0044548",0.000397810680900978,0.999961755937317,9,12,"S100 protein binding","MF"
"3586","GO:0007399",0.000400882778617935,0.999670600324416,570,2110,"nervous system development","BP"
"148","GO:0000302",0.000411541058316734,0.99976592374965,72,196,"response to reactive oxygen species","BP"
"13428","GO:0051591",0.000415347305332648,0.999833265551845,31,73,"response to cAMP","BP"
"3502","GO:0007200",0.000421400792724353,0.999839928636612,29,63,"phospholipase C-activating G protein-coupled receptor signaling pathway","BP"
"4988","GO:0014075",0.000421586945658798,0.999870981642217,21,42,"response to amine","BP"
"12929","GO:0050731",0.000422133172395607,0.999787496172525,50,132,"positive regulation of peptidyl-tyrosine phosphorylation","BP"
"12397","GO:0048015",0.000426373768678838,0.999776152944673,55,153,"phosphatidylinositol-mediated signaling","BP"
"4320","GO:0009395",0.000426900623192686,0.999880627713453,19,36,"phospholipid catabolic process","BP"
"17682","GO:0099565",0.000427798948167159,0.999805783429309,39,99,"chemical synaptic transmission, postsynaptic","BP"
"13091","GO:0051004",0.000428722625118199,0.99994846055345,10,14,"regulation of lipoprotein lipase activity","BP"
"4145","GO:0009084",0.000433440615405969,0.999938805620909,11,16,"glutamine family amino acid biosynthetic process","BP"
"18870","GO:1902414",0.000435263277106012,0.99980179891265,39,100,"protein localization to cell junction","BP"
"8120","GO:0032418",0.000437986810894283,0.999828855306422,30,67,"lysosome localization","BP"
"4461","GO:0009967",0.000443111858985687,0.999650272085585,375,1304,"positive regulation of signal transduction","BP"
"4502","GO:0010155",0.000446916194369691,0.99992026012342,13,20,"regulation of proton transport","BP"
"10735","GO:0043196",0.000448697084347566,0.999981506807592,7,8,"varicosity","CC"
"12079","GO:0046641",0.000458244977053693,0.999966907862082,8,10,"positive regulation of alpha-beta T cell proliferation","BP"
"11112","GO:0044093",0.000462766167114693,0.999629249171052,427,1513,"positive regulation of molecular function","BP"
"13826","GO:0055086",0.000462884567849777,0.999674233991161,170,532,"nucleobase-containing small molecule metabolic process","BP"
"617","GO:0001817",0.000464078249523959,0.999679252057316,153,484,"regulation of cytokine production","BP"
"7042","GO:0030258",0.000464564787057305,0.999723896318618,81,233,"lipid modification","BP"
"6385","GO:0019674",0.000466195213527406,0.999851811308569,22,44,"NAD metabolic process","BP"
"18425","GO:1901215",0.00046640766946102,0.999744628383254,62,171,"negative regulation of neuron death","BP"
"519","GO:0001659",0.000469285401631694,0.999758668140572,52,139,"temperature homeostasis","BP"
"4469","GO:0009991",0.000475127345493087,0.99968266779126,129,398,"response to extracellular stimulus","BP"
"2402","GO:0005319",0.000480793061716689,0.999776117043912,41,103,"lipid transporter activity","MF"
"5068","GO:0014888",0.000484755184517878,0.999879455545505,16,30,"striated muscle adaptation","BP"
"16919","GO:0097067",0.000485258368007824,0.999934608818497,10,15,"cellular response to thyroid hormone stimulus","BP"
"12084","GO:0046651",0.000491342119792819,0.999731250606389,62,167,"lymphocyte proliferation","BP"
"2003","GO:0004620",0.000499840864627128,0.999797517628929,31,72,"phospholipase activity","MF"
"11570","GO:0045598",0.000501605300911347,0.999760541178324,43,110,"regulation of fat cell differentiation","BP"
"8077","GO:0032370",0.000502190448137381,0.99982811163197,24,50,"positive regulation of lipid transport","BP"
"9427","GO:0035418",0.000510434880447403,0.999783854353358,33,81,"protein localization to synapse","BP"
"7557","GO:0031348",0.00051868928156476,0.999727333499988,55,145,"negative regulation of defense response","BP"
"3075","GO:0006538",0.000518838672640384,0.999978008533071,7,8,"glutamate catabolic process","BP"
"735","GO:0001975",0.000519646210719869,0.999872305741588,16,29,"response to amphetamine","BP"
"5276","GO:0015629",0.000519864320503496,0.999648039843094,134,432,"actin cytoskeleton","CC"
"6997","GO:0030198",0.000524312326697487,0.999667719329094,99,312,"extracellular matrix organization","BP"
"13268","GO:0051281",0.000524862686371442,0.99987772389214,15,27,"positive regulation of release of sequestered calcium ion into cytosol","BP"
"15310","GO:0070661",0.000531094150854977,0.999699306907593,68,187,"leukocyte proliferation","BP"
"14588","GO:0061200",0.000545746860175211,0.999976640197129,7,8,"clathrin-sculpted gamma-aminobutyric acid transport vesicle","CC"
"14589","GO:0061202",0.000545746860175211,0.999976640197129,7,8,"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane","CC"
"5880","GO:0016836",0.000545867195523985,0.999808964591985,25,51,"hydro-lyase activity","MF"
"12721","GO:0048771",0.000548964982181378,0.999726099350645,47,124,"tissue remodeling","BP"
"12581","GO:0048518",0.00055048970724582,0.999523408270438,1286,4860,"positive regulation of biological process","BP"
"12083","GO:0046649",0.000557096817104484,0.999615360469386,148,468,"lymphocyte activation","BP"
"18613","GO:1901685",0.00055732328750781,0.999914281629167,12,17,"glutathione derivative metabolic process","BP"
"18614","GO:1901687",0.00055732328750781,0.999914281629167,12,17,"glutathione derivative biosynthetic process","BP"
"8642","GO:0033270",0.000559220057491502,0.99994800609292,8,11,"paranode region of axon","CC"
"3370","GO:0006970",0.000562649326107588,0.999769398718724,31,73,"response to osmotic stress","BP"
"16918","GO:0097066",0.000567628738546633,0.999886499648546,13,22,"response to thyroid hormone","BP"
"1987","GO:0004601",0.000572902837088782,0.999825876745148,21,39,"peroxidase activity","MF"
"7418","GO:0031091",0.00058278340126375,0.999765755020627,30,69,"platelet alpha granule","CC"
"10661","GO:0043062",0.000587614921693308,0.999626021791873,99,313,"extracellular structure organization","BP"
"21083","GO:2000379",0.000588624875281178,0.999758847553092,31,72,"positive regulation of reactive oxygen species metabolic process","BP"
"1140","GO:0002688",0.000589725450001754,0.999743932324362,35,82,"regulation of leukocyte chemotaxis","BP"
"6033","GO:0017158",0.000589737301585429,0.999817908125254,20,41,"regulation of calcium ion-dependent exocytosis","BP"
"18370","GO:1901021",0.000595919813784973,0.999832153620152,18,35,"positive regulation of calcium ion transmembrane transporter activity","BP"
"12445","GO:0048169",0.000596832203502107,0.999867250862006,14,25,"regulation of long-term neuronal synaptic plasticity","BP"
"14463","GO:0060986",0.000598210810116716,0.999840676685368,17,32,"endocrine hormone secretion","BP"
"2688","GO:0005911",0.00059873038065151,0.999597530192878,126,410,"cell-cell junction","CC"
"21081","GO:2000377",0.000601225972170678,0.999683364407564,54,143,"regulation of reactive oxygen species metabolic process","BP"
"6479","GO:0019900",0.000601342980148868,0.999561597738601,197,660,"kinase binding","MF"
"3476","GO:0007169",0.000603942845112453,0.999565991053266,180,602,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"20611","GO:1990239",0.000605466722721911,1,5,5,"steroid hormone binding","MF"
"13264","GO:0051272",0.000608027147343965,0.999583584129405,139,448,"positive regulation of cellular component movement","BP"
"11701","GO:0045823",0.000610015738760347,0.99982125130554,19,37,"positive regulation of heart contraction","BP"
"10867","GO:0043410",0.000614488576294916,0.99958566023523,129,407,"positive regulation of MAPK cascade","BP"
"11335","GO:0044853",0.000618584481282978,0.999712374122419,39,100,"plasma membrane raft","CC"
"16986","GO:0097186",0.000626763738232765,0.999912326850601,10,15,"amelogenesis","BP"
"13992","GO:0060198",0.000629350724876703,0.99995196568521,8,10,"clathrin-sculpted vesicle","CC"
"19805","GO:1904407",0.00063834079309792,0.999836598106352,16,30,"positive regulation of nitric oxide metabolic process","BP"
"4772","GO:0010811",0.000639473952341169,0.999702066679942,39,100,"positive regulation of cell-substrate adhesion","BP"
"10399","GO:0042493",0.000643052489187862,0.999587844269582,103,308,"response to drug","BP"
"9206","GO:0034754",0.000652741824318752,0.999715546791748,35,81,"cellular hormone metabolic process","BP"
"717","GO:0001956",0.0006530183395659,0.999862894893377,13,23,"positive regulation of neurotransmitter secretion","BP"
"6487","GO:0019911",0.000653638501052988,0.999971020182169,7,8,"structural constituent of myelin sheath","MF"
"19122","GO:1903037",0.000654425907306391,0.999618493454796,72,205,"regulation of leukocyte cell-cell adhesion","BP"
"12098","GO:0046683",0.000657017673048057,0.999687283288471,41,105,"response to organophosphorus","BP"
"13025","GO:0050885",0.000662621019027588,0.999789457687653,20,43,"neuromuscular process controlling balance","BP"
"2614","GO:0005788",0.000662699600903942,0.99959558391732,84,248,"endoplasmic reticulum lumen","CC"
"13256","GO:0051260",0.000666683550241772,0.999643328489988,55,150,"protein homooligomerization","BP"
"8075","GO:0032368",0.000674776259412249,0.999702757653751,35,84,"regulation of lipid transport","BP"
"14735","GO:0061620",0.000678138662633858,0.999841357699256,15,26,"glycolytic process through glucose-6-phosphate","BP"
"5763","GO:0016616",0.000678247459248477,0.9996938344154,38,87,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"10185","GO:0042044",0.000681975059571303,0.999903410549442,10,15,"fluid transport","BP"
"2477","GO:0005539",0.0006822497942094,0.999633877555474,55,152,"glycosaminoglycan binding","MF"
"3644","GO:0007588",0.000687922276329466,0.999778052028335,21,43,"excretion","BP"
"7229","GO:0030665",0.000698275567229469,0.999685920740316,36,89,"clathrin-coated vesicle membrane","CC"
"8385","GO:0032809",0.000698411832164175,0.999841800575499,14,25,"neuronal cell body membrane","CC"
"6039","GO:0017171",0.00070324017468756,0.999670811027305,40,97,"serine hydrolase activity","MF"
"2710","GO:0005954",0.000704934376719326,1,5,5,"calcium- and calmodulin-dependent protein kinase complex","CC"
"11988","GO:0046475",0.000706036683687728,0.999844207842114,14,24,"glycerophospholipid catabolic process","BP"
"7489","GO:0031252",0.000710171354345246,0.999523880671932,121,393,"cell leading edge","CC"
"11569","GO:0045597",0.000711708437986124,0.999463914114002,238,815,"positive regulation of cell differentiation","BP"
"10800","GO:0043300",0.000712834333023695,0.999787995915724,19,37,"regulation of leukocyte degranulation","BP"
"10784","GO:0043271",0.000717931156498033,0.999646354959283,44,114,"negative regulation of ion transport","BP"
"6484","GO:0019905",0.000719797985506756,0.999698899960827,31,74,"syntaxin binding","MF"
"19500","GO:1903793",0.000721185195321756,0.99976633476963,21,43,"positive regulation of anion transport","BP"
"13427","GO:0051590",0.000722085905383341,0.999822013342675,15,28,"positive regulation of neurotransmitter transport","BP"
"5209","GO:0015272",0.000726295141010121,1,5,5,"ATP-activated inward rectifier potassium channel activity","MF"
"4139","GO:0009074",0.000733969550491152,0.999904430938143,10,14,"aromatic amino acid family catabolic process","BP"
"7727","GO:0031667",0.00073688144394346,0.999509188512506,119,367,"response to nutrient levels","BP"
"16495","GO:0086064",0.00074746969074393,0.999840457937854,13,23,"cell communication by electrical coupling involved in cardiac conduction","BP"
"5303","GO:0015698",0.000756536313104467,0.999614430737844,47,127,"inorganic anion transport","BP"
"6883","GO:0030007",0.000761757165073294,0.99992530680226,8,11,"cellular potassium ion homeostasis","BP"
"5311","GO:0015718",0.000767849551488649,0.999610402706733,47,123,"monocarboxylic acid transport","BP"
"11278","GO:0044706",0.000768566116206338,0.999576542507337,59,161,"multi-multicellular organism process","BP"
"10671","GO:0043085",0.000772955078672994,0.999388271142681,349,1225,"positive regulation of catalytic activity","BP"
"11400","GO:0045104",0.00077712518877246,0.999778376772712,17,35,"intermediate filament cytoskeleton organization","BP"
"5073","GO:0014896",0.000785640582712655,0.999683685433444,28,68,"muscle hypertrophy","BP"
"6255","GO:0019216",0.000795090322591865,0.999477764753759,110,340,"regulation of lipid metabolic process","BP"
"16471","GO:0086036",0.00080460449249211,1,5,5,"regulation of cardiac muscle cell membrane potential","BP"
"13307","GO:0051345",0.000805123618677584,0.999412246981449,190,633,"positive regulation of hydrolase activity","BP"
"18590","GO:1901653",0.000809255857134828,0.999475065221025,103,321,"cellular response to peptide","BP"
"19272","GO:1903351",0.000811028146227603,0.999672545858952,29,66,"cellular response to dopamine","BP"
"1315","GO:0003044",0.000813822576847429,0.999776284346356,17,32,"regulation of systemic arterial blood pressure mediated by a chemical signal","BP"
"11700","GO:0045822",0.000814187180066572,0.99984322253641,12,20,"negative regulation of heart contraction","BP"
"8864","GO:0034103",0.000827384665821137,0.999691129677221,25,56,"regulation of tissue remodeling","BP"
"10213","GO:0042110",0.000834438360265466,0.999459509645295,103,313,"T cell activation","BP"
"16214","GO:0072329",0.000839836875791694,0.999577815914961,46,116,"monocarboxylic acid catabolic process","BP"
"3655","GO:0007605",0.000839975999523322,0.999577000682659,45,120,"sensory perception of sound","BP"
"1537","GO:0003707",0.000851147189336147,0.999828985789582,12,21,"steroid hormone receptor activity","MF"
"9117","GO:0034614",0.00085408595454889,0.999545140460678,53,140,"cellular response to reactive oxygen species","BP"
"11168","GO:0044298",0.000857928415425995,0.999784423296767,15,28,"cell body membrane","CC"
"1147","GO:0002695",0.000861538179196694,0.999564956045069,46,118,"negative regulation of leukocyte activation","BP"
"12072","GO:0046634",0.000867879133635023,0.999660728166727,27,61,"regulation of alpha-beta T cell activation","BP"
"4346","GO:0009448",0.000875085194803243,1,5,5,"gamma-aminobutyric acid metabolic process","BP"
"13686","GO:0052547",0.000889079659462702,0.999425279555228,102,302,"regulation of peptidase activity","BP"
"17738","GO:0101003",0.000893538653010986,0.999702271116419,21,44,"ficolin-1-rich granule membrane","CC"
"18009","GO:0140029",0.000895944102411247,0.999614348580052,32,76,"exocytic process","BP"
"2048","GO:0004683",0.000900903833188528,0.999772378820439,15,28,"calmodulin-dependent protein kinase activity","MF"
"6237","GO:0019184",0.000915157578978575,0.999845999062888,11,17,"nonribosomal peptide biosynthetic process","BP"
"5482","GO:0016051",0.000921934753302392,0.999473209354596,64,179,"carbohydrate biosynthetic process","BP"
"4833","GO:0010882",0.000931602094030631,0.999795689965868,13,23,"regulation of cardiac muscle contraction by calcium ion signaling","BP"
"12007","GO:0046503",0.00094065151192889,0.999656396278761,24,52,"glycerolipid catabolic process","BP"
"4570","GO:0010466",0.000950927315234991,0.999486895221269,54,144,"negative regulation of peptidase activity","BP"
"15373","GO:0070821",0.000952218504264985,0.999647716760959,24,54,"tertiary granule membrane","CC"
"13017","GO:0050873",0.00095894926628679,0.999713257298857,18,36,"brown fat cell differentiation","BP"
"5399","GO:0015872",0.000963342482775961,0.999701568310318,19,38,"dopamine transport","BP"
"6954","GO:0030136",0.000967231673851657,0.999467756614331,56,157,"clathrin-coated vesicle","CC"
"11595","GO:0045630",0.000975801738060559,1,5,5,"positive regulation of T-helper 2 cell differentiation","BP"
"17290","GO:0098609",0.000978034943065743,0.999278309917599,195,671,"cell-cell adhesion","BP"
"2418","GO:0005355",0.000992389432531685,0.999873554664842,9,13,"glucose transmembrane transporter activity","MF"
"5148","GO:0015149",0.000992389432531685,0.999873554664842,9,13,"hexose transmembrane transporter activity","MF"
"12398","GO:0048016",0.00100090717293527,0.999657794214859,21,46,"inositol phosphate-mediated signaling","BP"
"6241","GO:0019199",0.00100142268330521,0.999577871085384,29,74,"transmembrane receptor protein kinase activity","MF"
"6445","GO:0019838",0.00100338090315465,0.9995008053547,42,114,"growth factor binding","MF"
"6993","GO:0030193",0.00101253290135848,0.999599425748739,27,61,"regulation of blood coagulation","BP"
"18178","GO:1900046",0.00101253290135848,0.999599425748739,27,61,"regulation of hemostasis","BP"
"12651","GO:0048662",0.00101361317102188,0.99968443866533,19,38,"negative regulation of smooth muscle cell proliferation","BP"
"10439","GO:0042584",0.00103809482049097,0.999955462462802,6,7,"chromaffin granule membrane","CC"
"897","GO:0002250",0.00104161393379976,0.999363795630299,79,229,"adaptive immune response","BP"
"11647","GO:0045723",0.00104748481200595,0.99984182238727,10,15,"positive regulation of fatty acid biosynthetic process","BP"
"2364","GO:0005230",0.00104830286776559,0.999606964330207,24,55,"extracellular ligand-gated ion channel activity","MF"
"5020","GO:0014808",0.00105038861352651,0.999744464129101,14,26,"release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","BP"
"19350","GO:1903514",0.00105038861352651,0.999744464129101,14,26,"release of sequestered calcium ion into cytosol by endoplasmic reticulum","BP"
"5689","GO:0016486",0.00105173022200973,0.999765839037147,13,23,"peptide hormone processing","BP"
"18093","GO:0140448",0.00105173022200973,0.999765839037147,13,23,"signaling receptor ligand precursor processing","BP"
"9110","GO:0034599",0.00105856846649059,0.999334651888898,88,259,"cellular response to oxidative stress","BP"
"3665","GO:0007618",0.00105886709990063,0.999709007422437,16,31,"mating","BP"
"4981","GO:0014066",0.001071917156329,0.999493053693065,37,97,"regulation of phosphatidylinositol 3-kinase signaling","BP"
"12069","GO:0046631",0.00107486277457982,0.999501748142335,36,90,"alpha-beta T cell activation","BP"
"19540","GO:1903861",0.00107780756283653,0.999776668788006,12,21,"positive regulation of dendrite extension","BP"
"19271","GO:1903350",0.00108050536552231,0.999552575297419,29,67,"response to dopamine","BP"
"14733","GO:0061615",0.00108133802480471,0.999726813586852,15,27,"glycolytic process through fructose-6-phosphate","BP"
"9800","GO:0036094",0.00108381106789941,0.999094353202726,587,2151,"small molecule binding","MF"
"2069","GO:0004713",0.00108674808565848,0.999445694249726,44,122,"protein tyrosine kinase activity","MF"
"10563","GO:0042827",0.00108676761281393,0.999834973371487,10,15,"platelet dense granule","CC"
"15609","GO:0071280",0.00109106233234345,0.999886069293464,8,11,"cellular response to copper ion","BP"
"12926","GO:0050728",0.00110548964343792,0.999481450516736,37,92,"negative regulation of inflammatory response","BP"
"7265","GO:0030808",0.00110802549062877,0.999680638522154,17,33,"regulation of nucleotide biosynthetic process","BP"
"18312","GO:1900371",0.00110802549062877,0.999680638522154,17,33,"regulation of purine nucleotide biosynthetic process","BP"
"6408","GO:0019755",0.00111002734804974,1,5,5,"one-carbon compound transport","BP"
"13687","GO:0052548",0.00111490630006723,0.999286955833636,94,277,"regulation of endopeptidase activity","BP"
"4229","GO:0009187",0.00112076950729634,0.999681268259981,16,33,"cyclic nucleotide metabolic process","BP"
"778","GO:0002040",0.0011235180500885,0.999449640145598,40,106,"sprouting angiogenesis","BP"
"15239","GO:0070527",0.00112409809420216,0.999589681194062,23,51,"platelet aggregation","BP"
"13923","GO:0060079",0.00113617636491773,0.999474548081009,35,90,"excitatory postsynaptic potential","BP"
"4931","GO:0014003",0.00113695037390838,0.999612764211264,21,44,"oligodendrocyte development","BP"
"8506","GO:0033006",0.00113996710735641,0.999710251830985,15,27,"regulation of mast cell activation involved in immune response","BP"
"10804","GO:0043304",0.00113996710735641,0.999710251830985,15,27,"regulation of mast cell degranulation","BP"
"15054","GO:0070201",0.00114368250813225,0.999176601743939,165,541,"regulation of establishment of protein localization","BP"
"1019","GO:0002456",0.00115386637832837,0.999549050948204,26,58,"T cell mediated immunity","BP"
"6499","GO:0019955",0.0011588082014451,0.999472782180056,34,85,"cytokine binding","MF"
"11719","GO:0045851",0.00116239075836093,0.99958291904723,23,48,"pH reduction","BP"
"17397","GO:0098815",0.0011630002411047,0.999607685852166,20,44,"modulation of excitatory postsynaptic potential","BP"
"13336","GO:0051402",0.00117448910014081,0.999301393195662,70,203,"neuron apoptotic process","BP"
"3992","GO:0008542",0.00119458989743153,0.999610870198733,19,41,"visual learning","BP"
"18831","GO:1902305",0.00120505042929821,0.999531562450667,25,58,"regulation of sodium ion transmembrane transport","BP"
"4596","GO:0010522",0.00121925593269136,0.999467303128349,31,76,"regulation of calcium ion transport into cytosol","BP"
"3238","GO:0006750",0.00122347006811301,0.999810837430085,10,15,"glutathione biosynthetic process","BP"
"11553","GO:0045576",0.00122574589630935,0.999579624356856,21,44,"mast cell activation","BP"
"16026","GO:0072012",0.00123585692189684,0.999739255071468,12,21,"glomerulus vasculature development","BP"
"3179","GO:0006663",0.00123789851096838,1,5,5,"platelet activating factor biosynthetic process","BP"
"14502","GO:0061041",0.00124444444538125,0.999388612802036,40,104,"regulation of wound healing","BP"
"10953","GO:0043552",0.00124527839470841,0.999684555350025,14,27,"positive regulation of phosphatidylinositol 3-kinase activity","BP"
"4558","GO:0010447",0.00125987245436945,0.999765782534757,11,18,"response to acidic pH","BP"
